channel_id,trending_video_count,subscriber_count,video_count,trending_ratio
UCZ-xaW1wnqubpkOLvOVKKOg,1,2040000.0,12620.0,7.92393026941363e-05
UCZ1Sc5xjWpUnp_o_lUTkvgQ,2,2670000.0,900.0,0.0022222222222222222
UCZ8RTD-1DWXzY3hXD0IrOKQ,3,521000.0,122.0,0.02459016393442623
UCZ8TREbPfawhSvayVe5pqKg,1,1710000.0,0.0,0.0
UCZ9m4KOh8Ei60428xeGYDCQ,18,4500000.0,304151.0,5.918113042534794e-05
UCZAf_In1A5Pq69Q8gbZqybA,1,449000.0,510.0,0.00196078431372549
UCZC45sBWNdkqSQ9Bwtt5lfA,2,2830000.0,603.0,0.003316749585406302
UCZFMm1mMw0F81Z37aaEzTUA,17,15300000.0,241981.0,7.025344965100566e-05
UCZIrDb4j3_dJf3G9jROboZQ,3,1460000.0,49.0,0.061224489795918366
UCZRIvleceNUxAQpVQdQwLAg,4,7920000.0,146.0,0.0273972602739726
UCZSNzBgFub_WWil6TOTYwAg,1,27800000.0,6086.0,0.00016431153466973383
UCZT_OWY9abyO3V9Rmdvh02w,29,6160000.0,41080.0,0.0007059396299902629
UCZW5lIUz93q_aZIkJPAC0IQ,3,6440000.0,1265.0,0.0023715415019762848
UCZYTClx2T1of7BRZ86-8fow,1,8280000.0,4001.0,0.00024993751562109475
UCZaT_X_mc0BI-djXOlfhqWQ,1,9250000.0,6707.0,0.0001490979573579842
UCZdGJgHbmqQcVZaJCkqDRwg,1,13200000.0,345.0,0.002898550724637681
UCZf__ehlCEBPop-_sldpBUQ,2,19500000.0,3644.0,0.0005488474204171241
UCZkURf9tDolFOeuw_4RD7XQ,1,18100000.0,364.0,0.0027472527472527475
UCZtDUmC3W7j25XHZWFT_XgQ,5,4250000.0,6608.0,0.0007566585956416465
UCZu46w3a5eSI7WMWmlkTfuw,1,5930000.0,4710.0,0.00021231422505307856
UCZxu0dMOx9JpYsWkyDwunAQ,1,7920000.0,5899.0,0.00016952025767079165
UCZzwjZPc6R_PbnDgFVMwlvQ,1,6410000.0,3308.0,0.0003022974607013301
UC_2irx_BQR7RsBKmUV9fePQ,47,7370000.0,295584.0,0.0001590072534372632
UC_3-FjGTc-6T-X_fwob06Gw,2,523000.0,13.0,0.15384615384615385
